comment,sentiment,magnitude
LOVE OUR NEW ECHO!,0.9300000071525574,0.9850000143051147
I'll never know how I survived before Alexa...,0.9190000295639038,0.9760000109672546
I've had it for about 3 months. I mostly use it as an easy-to-set timer & to add items to my grocery list.,0.44699999690055847,1.0130000114440918
No home is complete without an Echo (Alexa) Good Job Amazon !!!,0.9629999995231628,0.9900000095367432
I have several Alexa/Echo's and the 1st generation is still the best.,0.9300000071525574,0.9800000190734863
I just received it packaging was great no damage was easy to set up and use,0.9430000185966492,0.9800000190734863
My echo is loud and deaf,-0.8700000047683716,0.9760000109672546
Good for information but a little limited on what she can tell you. Sound quality is only ok.,-0.35499998927116394,1.9509999752044678
Alexia is NOT a Classical music fan.,-0.17100000381469727,0.20800000429153442
Echo is a growing obsession,0.5979999899864197,0.6949999928474426
This is the best present I ever bought myself. It does almost everything. I love it!,0.9269999861717224,2.927000045776367
"The Amazon Echo line of Alexa enabled devices are great, but the Alexa service itself leave a lot to be desired, making the Amazon Echo devices not as useful or valuable as you might originally think.",-0.15199999511241913,0.9580000042915344
"Used as a timer, alarm,questions about well known people. Get morning weather.",0.04800000041723251,0.17000000178813934
NEVER HAVE BEEN ABLE TO CONNECT TO WIFI.,-0.9079999923706055,0.9760000109672546
Great buy…,0.9399999976158142,0.9800000190734863
